date,symbol,open,high,low,close,volume
2024-12-18,252710,2635.0,2635.0,2560.0,2570.0,3250900
2024-12-19,252710,2705.0,2715.0,2665.0,2690.0,3732857
2024-12-20,252710,2720.0,2810.0,2720.0,2765.0,6771630
2024-12-23,252710,2725.0,2740.0,2655.0,2680.0,2977513
2024-12-24,252710,2655.0,2700.0,2650.0,2675.0,1047826
2024-12-26,252710,2670.0,2710.0,2655.0,2695.0,2527450
2024-12-27,252710,2715.0,2765.0,2690.0,2715.0,3786091
2024-12-30,252710,2740.0,2755.0,2670.0,2735.0,1779261
2025-01-02,252710,2755.0,2795.0,2735.0,2750.0,2808973
2025-01-03,252710,2760.0,2760.0,2600.0,2640.0,4566645
2025-01-06,252710,2625.0,2635.0,2515.0,2530.0,2388559
2025-01-07,252710,2520.0,2530.0,2450.0,2530.0,4632913
2025-01-08,252710,2570.0,2570.0,2450.0,2475.0,4091444
2025-01-09,252710,2480.0,2490.0,2435.0,2480.0,2018350
2025-01-10,252710,2490.0,2515.0,2460.0,2490.0,1420904
2025-01-13,252710,2520.0,2570.0,2505.0,2560.0,1926308
2025-01-14,252710,2530.0,2580.0,2530.0,2540.0,1810712
2025-01-15,252710,2520.0,2560.0,2480.0,2550.0,1723394
2025-01-16,252710,2500.0,2500.0,2455.0,2480.0,2390048
2025-01-17,252710,2490.0,2510.0,2475.0,2485.0,1634524
2025-01-20,252710,2475.0,2505.0,2465.0,2495.0,1906856
2025-01-21,252710,2490.0,2515.0,2420.0,2485.0,2859877
2025-01-22,252710,2475.0,2475.0,2420.0,2430.0,1504751
2025-01-23,252710,2445.0,2490.0,2430.0,2480.0,1623213
2025-01-24,252710,2485.0,2485.0,2440.0,2460.0,1819479
2025-01-31,252710,2510.0,2545.0,2500.0,2510.0,4240815
2025-02-03,252710,2615.0,2685.0,2615.0,2645.0,4866320
2025-02-04,252710,2580.0,2600.0,2500.0,2580.0,4862194
2025-02-05,252710,2545.0,2545.0,2490.0,2520.0,3422613
2025-02-06,252710,2515.0,2515.0,2465.0,2465.0,2233876
2025-02-07,252710,2475.0,2510.0,2460.0,2500.0,1608976
2025-02-10,252710,2535.0,2555.0,2480.0,2490.0,3302176
2025-02-11,252710,2490.0,2490.0,2430.0,2455.0,2426063
2025-02-12,252710,2465.0,2495.0,2445.0,2455.0,1928685
2025-02-13,252710,2440.0,2440.0,2395.0,2395.0,2740195
2025-02-14,252710,2390.0,2395.0,2350.0,2375.0,2338350
2025-02-17,252710,2390.0,2390.0,2330.0,2335.0,1898813
2025-02-18,252710,2350.0,2350.0,2295.0,2305.0,2216172
2025-02-19,252710,2295.0,2295.0,2190.0,2210.0,3315852
2025-02-20,252710,2215.0,2255.0,2215.0,2255.0,2607299
2025-02-21,252710,2245.0,2275.0,2240.0,2240.0,4160384
2025-02-24,252710,2280.0,2305.0,2275.0,2275.0,1771346
2025-02-25,252710,2315.0,2335.0,2280.0,2295.0,1892155
2025-02-26,252710,2315.0,2325.0,2260.0,2270.0,1418284
2025-02-27,252710,2255.0,2320.0,2255.0,2295.0,2347404
2025-02-28,252710,2370.0,2470.0,2365.0,2450.0,6734312
2025-03-04,252710,2475.0,2500.0,2430.0,2465.0,2219781
2025-03-05,252710,2460.0,2470.0,2400.0,2425.0,1953669
2025-03-06,252710,2400.0,2410.0,2365.0,2380.0,1650525
2025-03-07,252710,2425.0,2450.0,2380.0,2405.0,1522780
2025-03-10,252710,2430.0,2435.0,2375.0,2390.0,2816799
2025-03-11,252710,2505.0,2525.0,2435.0,2440.0,3356485
2025-03-12,252710,2445.0,2450.0,2355.0,2355.0,3261556
2025-03-13,252710,2320.0,2395.0,2315.0,2390.0,4251418
2025-03-14,252710,2365.0,2390.0,2345.0,2360.0,1997385
2025-03-17,252710,2335.0,2335.0,2260.0,2270.0,2667273
2025-03-18,252710,2230.0,2265.0,2195.0,2255.0,3217341
2025-03-19,252710,2265.0,2265.0,2190.0,2215.0,2802871
2025-03-20,252710,2190.0,2210.0,2170.0,2185.0,4744605
2025-03-21,252710,2200.0,2210.0,2160.0,2170.0,1858912
