date,Open,High,Low,Close,Adj Close,Volume,symbol
2024-04-01 04:00:00+00:00,306.0,314.0,300.0,304.0,304.0,7199,CBIO
2024-04-02 04:00:00+00:00,301.0,316.0,291.0,296.0,296.0,3918,CBIO
2024-04-03 04:00:00+00:00,300.0,302.0,272.0,277.0,277.0,5862,CBIO
2024-04-04 04:00:00+00:00,279.0,286.0,268.0,271.0,271.0,4047,CBIO
2024-04-05 04:00:00+00:00,281.0,283.0,266.0,275.0,275.0,3947,CBIO
2024-04-08 04:00:00+00:00,281.0,281.0,256.0,259.0,259.0,6988,CBIO
2024-04-09 04:00:00+00:00,262.0,271.0,259.0,268.0,268.0,7634,CBIO
2024-04-10 04:00:00+00:00,268.0,273.0,242.0,245.0,245.0,9593,CBIO
2024-04-11 04:00:00+00:00,257.0,257.0,248.0,251.0,251.0,4854,CBIO
2024-04-12 04:00:00+00:00,250.0,253.0,232.0,240.0,240.0,5202,CBIO
2024-04-15 04:00:00+00:00,240.0,247.0,222.0,226.0,226.0,7636,CBIO
2024-04-16 04:00:00+00:00,224.0,233.0,214.0,215.0,215.0,5991,CBIO
2024-04-17 04:00:00+00:00,216.0,239.0,216.0,228.0,228.0,8460,CBIO
2024-04-18 04:00:00+00:00,229.0,236.0,215.0,216.0,216.0,8760,CBIO
2024-04-19 04:00:00+00:00,217.0,217.0,188.0,193.0,193.0,11692,CBIO
2024-04-22 04:00:00+00:00,194.0,205.0,180.0,180.0,180.0,14777,CBIO
2024-04-23 04:00:00+00:00,180.0,186.0,174.0,184.0,184.0,12316,CBIO
2024-04-24 04:00:00+00:00,199.0,199.0,179.0,186.0,186.0,6648,CBIO
2024-04-25 04:00:00+00:00,180.0,181.0,170.0,171.0,171.0,5480,CBIO
2024-04-26 04:00:00+00:00,168.0,176.0,163.0,164.0,164.0,10154,CBIO
2024-04-29 04:00:00+00:00,164.0,173.0,154.0,155.0,155.0,11415,CBIO
2024-04-30 04:00:00+00:00,156.0,190.0,151.0,180.0,180.0,14503,CBIO
2024-05-01 04:00:00+00:00,180.0,193.0,162.0,162.0,162.0,9822,CBIO
2024-05-02 04:00:00+00:00,168.0,178.0,167.0,172.0,172.0,8586,CBIO
2024-05-03 04:00:00+00:00,167.0,184.0,163.0,183.0,183.0,11536,CBIO
2024-05-06 04:00:00+00:00,35.0,42.0,31.0,32.0,32.0,409952,CBIO
2024-05-07 04:00:00+00:00,33.0,33.0,27.0,31.0,31.0,71186,CBIO
2024-05-08 04:00:00+00:00,30.0,32.0,30.0,30.0,30.0,35131,CBIO
2024-05-09 04:00:00+00:00,31.0,32.0,30.0,30.0,30.0,29890,CBIO
2024-05-10 04:00:00+00:00,28.0,28.0,26.0,27.0,27.0,43541,CBIO
2024-05-13 04:00:00+00:00,28.0,28.0,26.0,26.0,26.0,14849,CBIO
2024-05-14 04:00:00+00:00,26.0,28.0,26.0,28.0,28.0,16876,CBIO
2024-05-15 04:00:00+00:00,28.0,29.0,27.0,27.0,27.0,12253,CBIO
2024-05-16 04:00:00+00:00,27.0,29.0,27.0,28.0,28.0,9127,CBIO
2024-05-17 04:00:00+00:00,28.0,31.0,28.0,30.0,30.0,27133,CBIO
2024-05-20 04:00:00+00:00,29.0,30.0,28.0,29.0,29.0,16761,CBIO
2024-05-21 04:00:00+00:00,29.0,29.0,28.0,28.0,28.0,12007,CBIO
2024-05-22 04:00:00+00:00,28.0,29.0,27.0,28.0,28.0,9601,CBIO
2024-05-23 04:00:00+00:00,28.0,29.0,26.0,27.0,27.0,15017,CBIO
2024-05-24 04:00:00+00:00,27.0,28.0,26.0,27.0,27.0,9805,CBIO
2024-05-28 04:00:00+00:00,27.0,27.0,26.0,27.0,27.0,6669,CBIO
2024-05-29 04:00:00+00:00,27.0,27.0,26.0,26.0,26.0,5356,CBIO
2024-05-30 04:00:00+00:00,26.0,28.0,26.0,27.0,27.0,8854,CBIO
2024-05-31 04:00:00+00:00,27.0,28.0,27.0,27.0,27.0,3969,CBIO
2024-06-03 04:00:00+00:00,27.0,28.0,27.0,27.0,27.0,4607,CBIO
2024-06-04 04:00:00+00:00,30.0,30.0,27.0,29.0,29.0,33679,CBIO
2024-06-05 04:00:00+00:00,29.0,29.0,27.0,27.0,27.0,10540,CBIO
2024-06-06 04:00:00+00:00,28.0,28.0,26.0,26.0,26.0,12927,CBIO
2024-06-07 04:00:00+00:00,27.0,27.0,25.0,26.0,26.0,5776,CBIO
2024-06-10 04:00:00+00:00,26.0,26.0,26.0,26.0,26.0,2697,CBIO
2024-06-11 04:00:00+00:00,26.0,28.0,26.0,27.0,27.0,5623,CBIO
2024-06-12 04:00:00+00:00,28.0,29.0,26.0,26.0,26.0,9231,CBIO
2024-06-13 04:00:00+00:00,26.0,27.0,26.0,27.0,27.0,4970,CBIO
2024-06-14 04:00:00+00:00,27.0,28.0,26.0,26.0,26.0,5524,CBIO
2024-06-17 04:00:00+00:00,26.0,26.0,24.0,24.0,24.0,9218,CBIO
2024-06-18 04:00:00+00:00,24.0,26.0,24.0,24.0,24.0,8507,CBIO
2024-06-20 04:00:00+00:00,25.0,27.0,24.0,25.0,25.0,9058,CBIO
2024-06-21 04:00:00+00:00,26.0,27.0,25.0,26.0,26.0,10084,CBIO
2024-06-24 04:00:00+00:00,26.0,27.0,26.0,27.0,27.0,279595,CBIO
