ticker,sector,close,volume,rs_score,momentum_score,core_signals,rsi_14,macd,macd_signal,adx,date,golden_cross,short_ma_aligned,long_ma_aligned,macd_crossover,macd_hist_increasing,rsi_uptrend,stoch_crossover,strong_trend,positive_trend,bollinger_breakout,volume_surge,new_high,price_momentum,cup_handle_breakout,healthy_ma_distance,uptrend_confirmed,above_30w_3d,stage_2a,vwap_breakout,obv_rising,ad_new_high,rs_rank,sector_strong,signal
RFIL,Industrials,7.139999866485596,406200,95.71,16,7,88.52041185597326,0.6736260968105166,0.48743219131055293,73.80501460781849,2025-07-09,False,True,True,False,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True
AMPX,Industrials,4.940000057220459,9543800,98.35,16,6,65.81921415737906,0.43373393433554375,0.35838405711545906,52.90154033469552,2025-07-09,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
UUU,Industrials,3.670000076293945,143700,97.42,15,7,68.66666973961674,0.18982792729956532,0.17711252912284894,49.41502612893557,2025-07-09,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True
RAYA,Industrials,2.990000009536743,798300,98.36,15,6,71.56863065922738,0.24537614757150417,0.18295487361588275,47.27595145202262,2025-07-09,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True
OLO,Technology,10.130000114440918,9003200,95.92,15,5,81.9230693049696,0.30094805786884393,0.17249945614331968,20.76987413247044,2025-07-09,False,True,True,False,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
CNVS,Communication Services,6.420000076293945,2037000,98.87,14,6,94.89795645293201,0.6078259933989933,0.3791636000028975,62.99379624578098,2025-07-09,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True
DHX,Technology,3.25,205600,96.07,13,7,73.71793901897215,0.2752436816664283,0.23953764837530914,76.21646472153505,2025-07-09,False,True,True,False,True,True,True,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True
MGIC,Technology,20.979999542236328,149500,95.55,13,5,29.113924050632903,1.2881970759593848,0.9416250938953847,41.12279791729826,2025-07-09,False,True,True,False,True,False,False,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True
MSGM,Communication Services,2.9100000858306885,150300,97.54,11,6,65.38462243842103,0.05953763084097918,0.058228076720453534,36.15595028474481,2025-07-09,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True,True,True,True,True,False,False,True,True,True
ROMA,Industrials,3.25,650200,98.93,11,6,67.11136901379467,0.17648159316833034,0.1860481964908483,25.272435263410568,2025-07-09,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True
ISSC,Industrials,13.859999656677246,518400,97.37,11,5,61.9607766872648,0.9951129284621381,1.026862789780103,57.49687999684113,2025-07-09,False,True,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,True,True,True,True
PSIX,Industrials,73.56999969482422,878700,98.86,11,5,75.80785787605,8.330163993759356,7.407951954719252,73.18171393563946,2025-07-09,False,True,True,False,False,False,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,True,True
