symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,rs_score,cond8
WW,True,True,True,True,True,True,True,8,99.98,True
LYEL,True,True,True,True,True,True,True,8,99.89,True
PXLW,True,True,True,True,True,True,True,8,99.85,True
JFBR,True,True,True,True,True,True,True,8,99.72,True
AYRO,True,True,True,True,True,True,True,8,99.7,True
IKNA,True,True,True,True,True,True,True,8,99.67,True
FLYE,True,True,True,True,True,True,True,8,99.59,True
ABVX,True,True,True,True,True,True,True,8,99.46,True
RAPT,True,True,True,True,True,True,True,8,99.37,True
TGEN,True,True,True,True,True,True,True,8,99.26,True
FIG,True,True,True,True,True,True,True,8,99.1,True
SEZL,True,True,True,True,True,True,True,8,99.08,True
RGLS,True,True,True,True,True,True,True,8,99.04,True
ZEPP,True,True,True,True,True,True,True,8,99.02,True
TOI,True,True,True,True,True,True,True,8,99.01,True
XTKG,True,True,True,True,True,True,True,8,99.0,True
TDUP,True,True,True,True,True,True,True,8,98.97,True
ALMU,True,True,True,True,True,True,True,8,98.92,True
TSSI,True,True,True,True,True,True,True,8,98.9,True
SVT,True,True,True,True,True,True,True,8,98.85,True
PSIX,True,True,True,True,True,True,True,8,98.82,True
DAVE,True,True,True,True,True,True,True,8,98.81,True
OKLO,True,True,True,True,True,True,True,8,98.78,True
CDTX,True,True,True,True,True,True,True,8,98.74,True
RKLB,True,True,True,True,True,True,True,8,98.64,True
MP,True,True,True,True,True,True,True,8,98.44,True
DALN,True,True,True,True,True,True,True,8,98.4,True
SMR,True,True,True,True,True,True,True,8,98.39,True
HOOD,True,True,True,True,True,True,True,8,98.33,True
NVTS,True,True,True,True,True,True,True,8,98.28,True
PLTR,True,True,True,True,True,True,True,8,98.22,True
ATAI,True,True,True,True,True,True,True,8,98.21,True
CRDO,True,True,True,True,True,True,True,8,98.13,True
VIGL,True,True,True,True,True,True,True,8,98.12,True
TZUP,True,True,True,True,True,True,True,8,98.07,True
JOBY,True,True,True,True,True,True,True,8,98.03,True
CLS,True,True,True,True,True,True,True,8,98.02,True
SATX,True,True,True,True,True,True,True,8,97.99,True
PGY,True,True,True,True,True,True,True,8,97.96,True
VRNA,True,True,True,True,True,True,True,8,97.89,True
DIST,True,True,True,True,True,True,True,8,97.88,True
BE,True,True,True,True,True,True,True,8,97.87,True
ASTS,True,True,True,True,True,True,True,8,97.84,True
RBLX,True,True,True,True,True,True,True,8,97.83,True
TLSA,True,True,True,True,True,True,True,8,97.8,True
VIOT,True,True,True,True,True,True,True,8,97.79,True
OCFT,True,True,True,True,True,True,True,8,97.76,True
XGN,True,True,True,True,True,True,True,8,97.75,True
FORD,True,True,True,True,True,True,True,8,97.74,True
HIMS,True,True,True,True,True,True,True,8,97.61,True
GEV,True,True,True,True,True,True,True,8,97.58,True
WLDN,True,True,True,True,True,True,True,8,97.4,True
TTMI,True,True,True,True,True,True,True,8,97.24,True
OSS,True,True,True,True,True,True,True,8,97.23,True
ISSC,True,True,True,True,True,True,True,8,97.22,True
THM,True,True,True,True,True,True,True,8,97.16,True
TLN,True,True,True,True,True,True,True,8,97.14,True
LASR,True,True,True,True,True,True,True,8,97.12,True
DOMO,True,True,True,True,True,True,True,8,97.09,True
GOSS,True,True,True,True,True,True,True,8,97.07,True
ASPI,True,True,True,True,True,True,True,8,97.01,True
UCL,True,True,True,True,True,True,True,8,96.99,True
IOBT,True,True,True,True,True,True,True,8,96.97,True
KTOS,True,True,True,True,True,True,True,8,96.96,True
PVLA,True,True,True,True,True,True,True,8,96.95,True
MGRM,True,True,True,True,True,True,True,8,96.94,True
GOGO,True,True,True,True,True,True,True,8,96.91,True
SOFI,True,True,True,True,True,True,True,8,96.89,True
TOYO,True,True,True,True,True,True,True,8,96.87,True
ELVA,True,True,True,True,True,True,True,8,96.86,True
FARO,True,True,True,True,True,True,True,8,96.84,True
NET,True,True,True,True,True,True,True,8,96.82,True
ICAD,True,True,True,True,True,True,True,8,96.75,True
INOD,True,True,True,True,True,True,True,8,96.74,True
AGX,True,True,True,True,True,True,True,8,96.72,True
WGS,True,True,True,True,True,True,True,8,96.67,True
SLGL,True,True,True,True,True,True,True,8,96.66,True
RFIL,True,True,True,True,True,True,True,8,96.65,True
SIFY,True,True,True,True,True,True,True,8,96.63,True
IPX,True,True,True,True,True,True,True,8,96.6,True
COMM,True,True,True,True,True,True,True,8,96.56,True
CVNA,True,True,True,True,True,True,True,8,96.54,True
SNES,True,True,True,True,True,True,True,8,96.38,True
CFSB,True,True,True,True,True,True,True,8,96.27,True
TPR,True,True,True,True,True,True,True,8,96.26,True
UUU,True,True,True,True,True,True,True,8,96.25,True
EVLV,True,True,True,True,True,True,True,8,96.24,True
LIF,True,True,True,True,True,True,True,8,96.19,True
ELTX,True,True,True,True,True,True,True,8,96.08,True
GROY,True,True,True,True,True,True,True,8,96.07,True
PLBY,True,True,True,True,True,True,True,8,95.99,True
SRAD,True,True,True,True,True,True,True,8,95.97,True
FUTU,True,True,True,True,True,True,True,8,95.94,True
IHS,True,True,True,True,True,True,True,8,95.93,True
BELFB,True,True,True,True,True,True,True,8,95.92,True
ALNT,True,True,True,True,True,True,True,8,95.91,True
